Sl. No,Project Name,Agency,Project Code,State,Approval Date,Start Date,Target DoC,Revised DoC,Original Cost,Revised Cost,Cumulative Expenditure,Physical Progress
168,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",National Thermal Power Corporation [NTPC],618976,Madhya Pradesh,11/2024,05/2025,03/2030,03/2030,20446,20446,2329.76,11.5
169,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],602096,"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,09/2010,03/2027,6285.33,26075.54,26448.07,97.98
170,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,National Thermal Power Corporation [NTPC],602961,Odisha,08/2022,09/2022,05/2027,05/2028,11843.75,12543,7031.31,55
171,"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]",National Thermal Power Corporation [NTPC],619056,Odisha,11/2025,11/2025,01/2031,05/2031,11131,11131,566.2,2.7
172,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Hydroelectric Power Corporation Limited [NHPC],602181,Sikkim,03/2019,03/2020,03/2024,09/2029,5748.04,5748.04,4572.68,73.78
173,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Hydroelectric Power Corporation Limited [NHPC],605156,Sikkim,03/2021,08/2021,05/2024,11/2026,938.29,1828.11,1718.16,97.56
174,"Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]",National Thermal Power Corporation [NTPC],619341,Telangana,03/2026,03/2026,01/2032,-,29344.85,29344.85,732.96,0.97
175,"Meja Thermal Power Project, Stage-II , (3x800 MW)",National Thermal Power Corporation [NTPC],298178,Uttar Pradesh,06/2026,06/2026,12/2032,-,38358,38358,1002.73,0.02
176,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",National Thermal Power Corporation [NTPC],612142,Uttar Pradesh,03/2024,03/2024,02/2030,04/2030,17195,17195,3840.48,25
177,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],602185,Uttarakhand,11/2006,11/2006,03/2013,07/2029,2978,10907.3,7827.81,76.07
178,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,602195,Uttarakhand,08/2008,01/2014,12/2022,06/2028,3860.35,6405.08,5832.69,81.5
179,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,01/2023,02/2025,08/2029,-,17673,17673,2268.62,13
180,Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],602184,West Bengal,09/2014,09/2014,09/2019,09/2029,1381.84,2865.56,1690.73,57.86
